time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
7.3,0.011401792,0.165570567,0.327690901,-0.78958022,0.098823066,-0.201011347
7.4,0.014531369,0.176992503,0.328420419,-0.795497512,0.01447197,-0.177329827
7.5,0.017512201,0.187245671,0.326303226,-0.794119574,-0.071104517,-0.151807291
7.6,0.020332821,0.196233584,0.3213457,-0.785498915,-0.156930867,-0.124758661
7.7,0.023010124,0.203818153,0.313579258,-0.769815093,-0.241962786,-0.096563107
7.8,0.025559263,0.20981802,0.303054658,-0.747391422,-0.325097528,-0.067667111
7.9,0.028014628,0.214043397,0.289838335,-0.718661245,-0.40522792,-0.038549748
8,0.030390439,0.216347567,0.274013605,-0.68409846,-0.4813158,-0.009666693
8.1,0.032682439,0.216660628,0.255685871,-0.644156528,-0.552442615,0.018592699
8.2,0.034879292,0.214982661,0.234987168,-0.599254117,-0.617809874,0.045908826
8.3,0.036961176,0.211343975,0.212076418,-0.549812459,-0.676700298,0.071998925
8.4,0.038913627,0.205764559,0.187134173,-0.496308599,-0.728438074,0.096578201
8.5,0.040742736,0.198245769,0.160355121,-0.439296983,-0.7723881,0.119349538
8.6,0.042442324,0.188801433,0.131943222,-0.379377255,-0.80800156,0.140033846
8.7,0.043992239,0.177505823,0.102111824,-0.31712571,-0.834880329,0.158421462
8.8,0.045355826,0.164523473,0.071087781,-0.253036577,-0.852817153,0.174409708
8.9,0.046468153,0.150100595,0.039115192,-0.187508236,-0.86178818,0.188002704
9,0.047268804,0.134527059,0.00645525,-0.120875632,-0.861908722,0.199278373
9.1,0.047700366,0.118097746,-0.026618128,-0.053456169,-0.853388808,0.208350372
9.2,0.047704035,0.101097592,-0.0598241,0.014427872,-0.836515733,0.215350942
9.3,0.04723525,0.083810654,-0.092878419,0.082461267,-0.811664996,0.220438886
9.4,0.046248798,0.06653024,-0.125493787,0.15035857,-0.77931039,0.223811185
9.5,0.044705745,0.04954438,-0.157379107,0.217860783,-0.740002598,0.225691622
9.6,0.04258299,0.033091453,-0.188241778,0.284687781,-0.694311621,0.226286862
9.7,0.03990153,0.017307753,-0.217794926,0.350465838,-0.642758634,0.225729615
9.8,0.03671006,0.002201486,-0.245768236,0.414674418,-0.585780662,0.224043225
9.9,0.033093363,-0.012324984,-0.271917896,0.476651635,-0.523752619,0.221153348
10,0.02914417,-0.02641186,-0.29603109,0.535662762,-0.457057796,0.216944511
10.1,0.024935328,-0.040169575,-0.317923886,0.590998927,-0.386167503,0.211331576
10.2,0.020521355,-0.053632978,-0.337434808,0.642057312,-0.311686905,0.204309821
10.3,0.015938213,-0.066759364,-0.354418187,0.688369196,-0.234347472,0.195962356
10.4,0.011205466,-0.07946163,-0.368741549,0.729575674,-0.154956915,0.186429853
10.5,0.006347147,-0.091651299,-0.380287043,0.765377178,-0.074338271,0.175866085
10.6,0.001397913,-0.103267895,-0.388955878,0.795490788,0.006714041,0.164404027
10.7,-0.003597482,-0.114285403,-0.39467255,0.819632786,0.08744982,0.152143918
10.8,-0.008587805,-0.124700913,-0.397387446,0.837526921,0.167157154,0.139160262
10.9,-0.01352633,-0.134516573,-0.397077443,0.848925546,0.245148243,0.125517426
11,-0.018366589,-0.143722702,-0.393745034,0.853633467,0.320746484,0.111285573
11.1,-0.023069738,-0.152285129,-0.38741645,0.851528755,0.393278264,0.096553595
11.2,-0.027615936,-0.16013788,-0.378139298,0.842578273,0.462070728,0.081437479
11.3,-0.031985522,-0.167184099,-0.365979789,0.826844452,0.526458922,0.066081193
11.4,-0.036163537,-0.173308206,-0.351020566,0.804476382,0.585805742,0.050646526
11.5,-0.040144587,-0.178397101,-0.333359654,0.775686281,0.639531956,0.035292731
11.6,-0.043903389,-0.182362461,-0.313111469,0.740718061,0.687146005,0.020153715
11.7,-0.047414457,-0.18515284,-0.290408491,0.699825078,0.728260703,0.005324067
11.8,-0.050640633,-0.186750897,-0.265402654,0.653265599,0.762591154,-0.009139809
11.9,-0.05355169,-0.187161485,-0.238264817,0.601314433,0.789940513,-0.023207894
12,-0.056101156,-0.186403552,-0.209182728,0.544273442,0.810190583,-0.036866763
12.1,-0.058253188,-0.184514469,-0.178359103,0.482467434,0.823306467,-0.050122089
12.2,-0.059964004,-0.18156313,-0.146011538,0.41622335,0.829350544,-0.063011096
12.3,-0.061182022,-0.177654796,-0.112374198,0.345853379,0.828486045,-0.075609134
12.4,-0.061869798,-0.172911484,-0.077699352,0.271666505,0.820949838,-0.088012444
12.5,-0.061990511,-0.167426484,-0.04225565,0.194019621,0.806993521,-0.100292623
12.6,-0.061551438,-0.161212666,-0.006321409,0.113390412,0.786818369,-0.112440455
12.7,-0.060587448,-0.15417623,0.029825816,0.030431294,0.760540977,-0.1243306
12.8,-0.059165619,-0.146138509,0.065919176,-0.054034427,0.72821716,-0.135733388
12.9,-0.057357414,-0.136902573,0.10170743,-0.139084463,0.689919436,-0.146375263
13,-0.055211447,-0.126334577,0.136952676,-0.223808557,0.645830565,-0.156020717
13.1,-0.052747988,-0.114418642,0.171422577,-0.30740531,0.596304009,-0.164534441
13.2,-0.049966432,-0.101258883,0.204882389,-0.389218783,0.541859451,-0.171892956
13.3,-0.046846881,-0.087032068,0.237091385,-0.468704016,0.483119504,-0.178144247
13.4,-0.043377695,-0.071922253,0.267806104,-0.545351438,0.420726099,-0.183343582
13.5,-0.039568683,-0.056075931,0.296788437,-0.618621012,0.355282535,-0.187504621
13.6,-0.035443269,-0.039599886,0.32381363,-0.687925608,0.287348139,-0.190591733
13.7,-0.031032201,-0.022595216,0.348674813,-0.752668224,0.217476505,-0.192551557
13.8,-0.02635993,-0.005199101,0.371181912,-0.812303939,0.146262151,-0.193357226
13.9,-0.02143385,0.012395834,0.391158056,-0.866384257,0.074359863,-0.193034086
14,-0.016258762,0.029956768,0.408436533,-0.914558061,0.002462171,-0.191651293
14.1,-0.010850412,0.047248741,0.422861559,-0.95653523,-0.068749716,-0.189287687
14.2,-0.00523392,0.064070224,0.434292647,-0.992040581,-0.138650946,-0.185996603
14.3,5.57E-04,0.08026597,0.442610014,-1.020792049,-0.206689755,-0.181791448
14.4,0.006463292,0.095715732,0.447718328,-1.042510556,-0.272374951,-0.17665636
14.5,0.012432358,0.110315758,0.449547008,-1.056947975,-0.335254873,-0.170566939
14.6,0.018404391,0.123974078,0.448049031,-1.063902922,-0.394912973,-0.163499161
14.7,0.024310344,0.136627949,0.443200669,-1.06320699,-0.450990507,-0.155415565
14.8,0.030065262,0.148272125,0.435004385,-1.054687503,-0.50322075,-0.146237699
14.9,0.035576483,0.158973369,0.423494448,-1.038137954,-0.551446475,-0.135828744
15,0.040735119,0.168851152,0.408742282,-1.013326118,-0.59559527,-0.124008581
15.1,0.045444307,0.178024427,0.390857849,-0.980054026,-0.63561495,-0.110605255
15.2,0.04963172,0.186546143,0.369985389,-0.938246544,-0.671394629,-0.095523551
15.3,0.053274405,0.194357285,0.346294383,-0.888031581,-0.702710299,-0.078798805
15.4,0.056379676,0.201283268,0.319969444,-0.829771721,-0.729222692,-0.060610325
15.5,0.058983012,0.207072972,0.291203626,-0.764035579,-0.750525732,-0.04124995
15.6,0.061123958,0.211459766,0.260196357,-0.691527198,-0.766221133,-0.021063806
15.7,0.062836955,0.214216127,0.227156119,-0.613008037,-0.775984035,-3.95E-04
15.8,0.064144909,0.215183185,0.192304401,-0.529242757,-0.779598112,0.02045004
15.9,0.065047831,0.214274003,0.155878704,-0.44097745,-0.776958244,0.041212811
