"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1.7,-64.14601669,0.172409676,-1.91337302,-0.28570161,-0.31050819,0.041247359"
"1.8,-64.14674679,0.168084215,-1.927586408,-0.206849984,-0.364110234,0.072413225"
"1.9,-64.14748761,0.16141108,-1.942887377,-0.126442316,-0.413998496,0.102883326"
"2,-64.1482462,0.152457209,-1.959142964,-0.045187654,-0.459502417,0.132289905"
"2.1,-64.14900638,0.141284592,-1.976205339,0.036153232,-0.499954159,0.160241921"
"2.2,-64.14976596,0.127965769,-1.993916901,0.116783335,-0.534718275,0.186342128"
"2.3,-64.15051963,0.112620497,-2.012111327,0.195922976,-0.563246321,0.210229154"
"2.4,-64.15128055,0.095442958,-2.030610774,0.272864643,-0.58511824,0.231614436"
"2.5,-64.15207286,0.076693767,-2.049222664,0.346989165,-0.600041297,0.250285852"
"2.6,-64.15291026,0.056658194,-2.067740288,0.417731168,-0.607807222,0.266075008"
"2.7,-64.15382064,0.035598389,-2.085948747,0.4845222,-0.608243073,0.278813258"
"2.8,-64.15477786,0.013734131,-2.103633804,0.546758244,-0.601196506,0.288312263"
"2.9,-64.15577695,-0.008734053,-2.120589008,0.603822127,-0.58657099,0.29438705"
"3,-64.15681673,-0.031576818,-2.136617396,0.655150891,-0.56439011,0.29690819"
"3.1,-64.15789819,-0.054499071,-2.151528354,0.700304418,-0.534845487,0.295847403"
"3.2,-64.15904746,-0.077141723,-2.165133608,0.738991037,-0.498296824,0.291286411"
"3.3,-64.16030969,-0.099120949,-2.177246576,0.771038498,-0.455225225,0.283385349"
"3.4,-64.16170517,-0.120077209,-2.18768681,0.796337091,-0.406175102,0.272336051"
"3.5,-64.16323799,-0.139701896,-2.196287291,0.814799093,-0.351722032,0.258333202"
"3.6,-64.16491095,-0.157729129,-2.202900267,0.826361963,-0.29248196,0.241579896"
"3.7,-64.16672448,-0.173908354,-2.207399051,0.831024794,-0.229141534,0.222314747"
"3.8,-64.16867608,-0.187987085,-2.209676136,0.828882302,-0.162474205,0.200832161"
"3.9,-64.1707762,-0.199723407,-2.209641125,0.820123118,-0.093318974,0.177472927"
"4,-64.17301177,-0.208923169,-2.207221638,0.804988113,-0.022528522,0.152587106"
"4.1,-64.17537086,-0.215476965,-2.202368149,0.783716236,0.049082626,0.126492289"
"4.2,-64.17778234,-0.219372457,-2.195060104,0.7565125,0.120760426,0.099453444"
"4.3,-64.18020701,-0.220676076,-2.185310102,0.723556196,0.191797462,0.071693467"
"4.4,-64.18256787,-0.219499572,-2.173164148,0.685036384,0.261502223,0.04342139"
"4.5,-64.18480289,-0.215975322,-2.158698843,0.641184915,0.329180033,0.014854456"
"4.6,-64.18686526,-0.210253213,-2.142018307,0.592283429,0.394140762,-0.013781029"
"4.7,-64.18868618,-0.202512889,-2.123252943,0.538644619,0.455725109,-0.042266294"
"4.8,-64.19022137,-0.192972592,-2.102560321,0.480590413,0.513326175,-0.07040587"
"4.9,-64.19139766,-0.181878676,-2.080126116,0.418449992,0.566387781,-0.098025468"
"5,-64.19217317,-0.169476237,-2.056162779,0.352586531,0.614379465,-0.124949293"
"5.1,-64.19252104,-0.155975028,-2.03090485,0.283437349,0.656766605,-0.150970153"
"5.2,-64.19244422,-0.141529729,-2.004602139,0.211543432,0.692997343,-0.175831094"
"5.3,-64.1919531,-0.12624337,-1.977513045,0.137550232,0.722517367,-0.199229748"
"5.4,-64.19107448,-0.110189891,-1.949899912,0.062179774,0.744806836,-0.220843148"
"5.5,-64.18984539,-0.093442294,-1.92202697,-0.013812323,0.759422374,-0.240360227"
"5.6,-64.18829907,-0.0760936,-1.89416,-0.089676869,0.766029087,-0.257509097"
"5.7,-64.18644264,-0.05826438,-1.866566497,-0.164696858,0.764414868,-0.272071167"
"5.8,-64.18431803,-0.040096641,-1.83951516,-0.238195484,0.754487509,-0.283881258"
"5.9,-64.1819328,-0.021737203,-1.813274235,-0.309527898,0.736257147,-0.292815653"
"6,-64.17932788,-0.003314651,-1.788108171,-0.378060095,0.709810708,-0.298772004"
"6.1,-64.17653846,0.015083489,-1.764272397,-0.443141766,0.675285275,-0.301646634"
"6.2,-64.17363934,0.033422939,-1.742006723,-0.504086477,0.632853579,-0.301320145"
"6.3,-64.17068415,0.051713024,-1.72152855,-0.560176151,0.582734665,-0.297663433"
"6.4,-64.16775269,0.069970665,-1.703028382,-0.610701621,0.525235197,-0.290570255"
"6.5,-64.16488433,0.088167136,-1.686669539,-0.655035312,0.460809385,-0.280010382"
"6.6,-64.16209512,0.106179618,-1.672592512,-0.692710742,0.390111404,-0.266081732"
"6.7,-64.15937822,0.123772417,-1.660921813,-0.723473647,0.314009569,-0.249035581"
"6.8,-64.156672,0.140620109,-1.651771667,-0.747279791,0.233549301,-0.229259542"
"6.9,-64.15393348,0.156363304,-1.645247656,-0.764239845,0.149875962,-0.207224004"
"7,-64.15112769,0.170670352,-1.641442746,-0.77454057,0.064151018,-0.183416953"
"7.1,-64.14821799,0.183276308,-1.640430753,-0.778381965,-0.022504023,-0.158297238"
"7.2,-64.14521135,0.193986637,-1.642260322,-0.775956394,-0.109021458,-0.132282035"
"7.3,-64.14209783,0.202656267,-1.646952696,-0.767465828,-0.194372163,-0.10576131"
"7.4,-64.13890449,0.20916934,-1.654502987,-0.753148311,-0.277551994,-0.079114942"
"7.5,-64.13562623,0.213440834,-1.664883054,-0.733281159,-0.357595221,-0.052709524"
"7.6,-64.13230071,0.21544177,-1.678041838,-0.708149157,-0.43361608,-0.026869983"
"7.7,-64.12896866,0.215228755,-1.693902691,-0.677995793,-0.504854446,-0.001843506"
"7.8,-64.12571152,0.212950604,-1.712358226,-0.642994435,-0.570692828,0.022216779"
"7.9,-64.12259906,0.208818401,-1.733267255,-0.603265946,-0.630628698,0.04523102"
"8,-64.11970673,0.203049462,-1.756456453,-0.558940633,-0.684215161,0.067141687"
"8.1,-64.1170794,0.195815385,-1.781727385,-0.510231246,-0.731006919,0.087861199"
"8.2,-64.11474703,0.187225351,-1.808866149,-0.45747113,-0.770548645,0.107250972"
"8.3,-64.11273844,0.177355086,-1.837650496,-0.40109192,-0.802418094,0.125146701"
"8.4,-64.11106362,0.166303751,-1.867851405,-0.341550813,-0.826300224,0.141416025"
"8.5,-64.10976502,0.154242065,-1.899229011,-0.27925095,-0.842048933,0.15601318"
"8.6,-64.1089021,0.141419157,-1.931526496,-0.214503812,-0.84969677,0.168995168"
"8.7,-64.10854541,0.128119589,-1.964467179,-0.147558807,-0.849403606,0.180486548"
"8.8,-64.10871847,0.114592261,-1.997757989,-0.078685187,-0.841370823,0.190610196"
"8.9,-64.10944602,0.100989201,-2.031098973,-0.008260656,-0.825768163,0.19942106"
"9,-64.11068607,0.087345804,-2.064195041,0.063181558,-0.802709871,0.206877559"
"9.1,-64.11239743,0.073609496,-2.096765079,0.134969634,-0.772288849,0.212861845"
"9.2,-64.11450694,0.059696834,-2.128545526,0.206359665,-0.734642714,0.217232726"
"9.3,-64.1169685,0.045546915,-2.159288811,0.276612976,-0.690013671,0.219879758"
"9.4,-64.11974695,0.03114756,-2.188759805,0.34504723,-0.638774179,0.220752821"
"9.5,-64.12281077,0.01653213,-2.21673353,0.411049029,-0.581416011,0.219861508"
"9.6,-64.12614061,0.001763372,-2.242995663,0.474062246,-0.518523576,0.217259099"
"9.7,-64.12972225,-0.0130758,-2.267344723,0.533579074,-0.450755666,0.213031239"
"9.8,-64.13354658,-0.027877217,-2.289593633,0.589149013,-0.378843699,0.207298909"
"9.9,-64.13760186,-0.042497748,-2.309569132,0.640398857,-0.303595425,0.200227743"
"10,-64.14188936,-0.056762473,-2.327109856,0.687041311,-0.225881906,0.192026193"
"10.1,-64.14642468,-0.070490604,-2.342065539,0.728853168,-0.146597444,0.18292051"
"10.2,-64.15117867,-0.083536062,-2.35429925,0.765625893,-0.066602048,0.173112332"
"10.3,-64.15612477,-0.095821235,-2.36369326,0.797114132,0.013326802,0.162739596"
"10.4,-64.16120141,-0.107342994,-2.370155499,0.823012022,0.092508155,0.151863146"
"10.5,-64.16634167,-0.118146417,-2.373624148,0.84297421,0.170332271,0.140487066"
"10.6,-64.17147937,-0.128280933,-2.374067545,0.856669273,0.246214419,0.128600109"
"10.7,-64.17654783,-0.137764077,-2.371480671,0.863835422,0.319558111,0.116213908"
"10.8,-64.18151784,-0.14657117,-2.36588001,0.864308519,0.389749404,0.103377381"
"10.9,-64.18633754,-0.154651769,-2.357300632,0.858013646,0.456183159,0.09016356"
"11,-64.1909795,-0.161957605,-2.345795891,0.844932767,0.518301541,0.076642453"
"11.1,-64.1954036,-0.168462781,-2.331439717,0.825074419,0.575622196,0.062859245"
"11.2,-64.19954959,-0.174165724,-2.314328903,0.798463521,0.62774321,0.048830093"
"11.3,-64.20338244,-0.179076154,-2.294583753,0.765153062,0.674329316,0.034554057"
"11.4,-64.20685354,-0.183198163,-2.272347008,0.725244961,0.715093432,0.020030782"
"11.5,-64.20992317,-0.186518069,-2.247781586,0.67890821,0.749782735,0.005274586"
"11.6,-64.21258314,-0.18899785,-2.221068363,0.626390139,0.778171403,-0.009676616"
"11.7,-64.21481074,-0.190569162,-2.192403803,0.568026226,0.800053141,-0.024753134"
"11.8,-64.21661419,-0.191125679,-2.161997105,0.504253443,0.815231262,-0.039842848"
"11.9,-64.21801708,-0.190517986,-2.130066065,0.435623249,0.823511212,-0.054782249"
"12,-64.21905108,-0.188561411,-2.096832431,0.362800892,0.82470879,-0.069359157"
"12.1,-64.2197493,-0.185063012,-2.06251809,0.286538922,0.818680828,-0.083335265"
"12.2,-64.2201481,-0.179864579,-2.027344032,0.207623197,0.805374659,-0.096486887"
"12.3,-64.22025063,-0.17288774,-1.991532543,0.126806251,0.784878489,-0.108651261"
"12.4,-64.2200357,-0.16416421,-1.955311809,0.044749882,0.757453892,-0.119761097"
"12.5,-64.21945774,-0.15384021,-1.918920859,-0.038003546,0.723535546,-0.129854836"
"12.6,-64.21846094,-0.14215445,-1.882612917,-0.121024629,0.683699801,-0.13905993"
"12.7,-64.21696974,-0.129397655,-1.846655841,-0.203960841,0.638610574,-0.147555818"
"12.8,-64.21493998,-0.115864308,-1.81132957,-0.286482653,0.58895686,-0.155526582"
"12.9,-64.21233388,-0.101806457,-1.776920862,-0.368224223,0.535393076,-0.163113215"
"13,-64.20914133,-0.087398275,-1.743715921,-0.448730675,0.478493118,-0.170374466"
"13.1,-64.20540954,-0.072720238,-1.711991834,-0.527425287,0.418728669,-0.177265874"
"13.2,-64.20119769,-0.057770167,-1.682008877,-0.603609804,0.356480326,-0.183645511"
"13.3,-64.1965708,-0.042501502,-1.65400511,-0.676504624,0.292081487,-0.189309032"
"13.4,-64.19161722,-0.026876929,-1.628195538,-0.745320221,0.225880359,-0.194043967"
"13.5,-64.18638941,-0.010915314,-1.604775401,-0.809333074,0.158293236,-0.19768207"
"13.6,-64.18091986,0.005290584,-1.583925519,-0.867933429,0.089821917,-0.200125463"
"13.7,-64.17525825,0.021594844,-1.565816073,-0.920623589,0.02102501,-0.201334207"
"13.8,-64.16943878,0.037846062,-1.550605939,-0.966970905,-0.047542502,-0.20128354"
"13.9,-64.16350101,0.053934868,-1.538437312,-1.006546195,-0.115388189,-0.199916395"
