time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
2.8,0.038719047,0.158287048,0.126135674,-0.089048485,0.095876799,-0.094758056
2.9,0.035671104,0.155434608,0.111463394,-0.064046224,0.076870878,-0.089921842
3,0.032153953,0.150761604,0.095069733,-0.037543469,0.056351055,-0.083869314
3.1,0.02816378,0.144256592,0.077059593,-0.009616214,0.034473542,-0.076598671
3.2,0.023712028,0.135919571,0.057550755,0.01967834,0.011393732,-0.068099774
3.3,0.018810142,0.125768661,0.036707249,0.050260624,-0.012693623,-0.058387819
3.4,0.013511527,0.113843918,0.014760342,0.081980646,-0.037518559,-0.047537846
3.5,0.007911552,0.100217819,-0.007991943,0.114591391,-0.062728037,-0.035699208
3.6,0.002128471,0.085000038,-0.031211529,0.147761938,-0.087915,-0.023079132
3.7,-0.003723275,0.068329811,-0.054564152,0.181125918,-0.112671734,-0.009902354
3.8,-0.009552132,0.050373077,-0.077753696,0.214339994,-0.136640069,0.003631881
3.9,-0.015300881,0.03130722,-0.100529346,0.247121233,-0.159533142,0.017372728
4,-0.020939004,0.01131916,-0.122671757,0.279246361,-0.181121129,0.031210599
4.1,-0.026443612,-0.009398937,-0.143960629,0.310518382,-0.201194108,0.045047816
4.2,-0.031768929,-0.030644894,-0.164151821,0.340724227,-0.219526509,0.058766467
4.3,-0.036853921,-0.052204132,-0.182971153,0.369607443,-0.235861987,0.072210848
4.4,-0.041618477,-0.073847771,-0.200124416,0.396865901,-0.249921664,0.085189761
4.5,-0.045974862,-0.09533453,-0.215317402,0.422167749,-0.261424637,0.097491085
4.6,-0.049831521,-0.116414547,-0.228270683,0.445170092,-0.270106741,0.108896988
4.7,-0.053104531,-0.136834145,-0.238730106,0.46553246,-0.275732362,0.119193991
4.8,-0.055717599,-0.156339169,-0.246472988,0.482926764,-0.278103852,0.128181013
4.9,-0.057609688,-0.174678326,-0.251322422,0.497053356,-0.277076229,0.135682028
5,-0.058746468,-0.191609859,-0.25316206,0.507665763,-0.272576842,0.141564422
5.1,-0.059127938,-0.206908226,-0.251943741,0.514595043,-0.264619724,0.145754636
5.2,-0.058773171,-0.2203722,-0.24768034,0.517756727,-0.253300447,0.14823865
5.3,-0.057727944,-0.231827736,-0.240421925,0.51712995,-0.238767645,0.149041411
5.4,-0.056022774,-0.24112606,-0.230227146,0.512715727,-0.221183323,0.148193454
5.5,-0.053672921,-0.248139381,-0.217147503,0.504498103,-0.20069429,0.145703756
5.6,-0.050674569,-0.252755165,-0.201235447,0.492432733,-0.17743372,0.141556591
5.7,-0.047020089,-0.254879475,-0.182573471,0.47647341,-0.151553347,0.135736309
5.8,-0.042732369,-0.254439354,-0.161308441,0.456621465,-0.123266678,0.128265536
5.9,-0.03786863,-0.251395702,-0.137664471,0.432968119,-0.092875672,0.119233145
6,-0.03250898,-0.245746136,-0.111931477,0.405704299,-0.060763024,0.108794268
6.1,-0.026764046,-0.237528801,-0.084431801,0.375091311,-0.027353327,0.097142045
6.2,-0.020717751,-0.226817131,-0.055484447,0.341410874,0.006935041,0.084467802
6.3,-0.014442574,-0.213710785,-0.025385532,0.304923097,0.04172174,0.070931861
6.4,-0.007988106,-0.198330402,0.005585995,0.265853401,0.076666559,0.056658734
6.5,-0.001384865,-0.180816174,0.037149277,0.224409707,0.111447456,0.04175425
6.6,0.005321372,-0.161325455,0.069001522,0.180813877,0.145732838,0.026330326
6.7,0.012077201,-0.140040398,0.100807037,0.135326391,0.179166027,0.01052164
6.8,0.018806327,-0.117163658,0.132207241,0.088252327,0.211368555,-0.00551302
6.9,0.025440086,-0.092921257,0.162834015,0.039930446,0.241956517,-0.021601302
7,0.031890739,-0.067556381,0.192323055,-0.00928381,0.270558361,-0.037570479
7.1,0.038093437,-0.041325569,0.22032341,-0.05903069,0.296825854,-0.053255672
7.2,0.0439757,-0.014493942,0.246496525,-0.108949882,0.32043619,-0.068501014
7.3,0.049468864,0.012667656,0.27051672,-0.158677527,0.341088948,-0.083155986
7.4,0.054511894,0.039884567,0.292067852,-0.207840229,0.358501288,-0.097069995
7.5,0.059028495,0.06688118,0.310840454,-0.256048104,0.372403471,-0.110086761
7.6,0.062934745,0.093379974,0.326535072,-0.302888367,0.382535924,-0.122039592
7.7,0.066150535,0.119107246,0.338864651,-0.347922152,0.38865073,-0.132749903
7.8,0.068576682,0.143788338,0.347566452,-0.390690556,0.390522282,-0.142032943
7.9,0.070144523,0.167156219,0.352421608,-0.430733474,0.387968432,-0.149712624
8,0.070785392,0.1889534,0.35327467,-0.46761903,0.380877522,-0.155642722
8.1,0.070476402,0.20894146,0.350047913,-0.500973565,0.369230128,-0.159725695
8.2,0.069228996,0.226904869,0.34274086,-0.530498125,0.353104478,-0.161919986
8.3,0.067077506,0.242657661,0.331419315,-0.555964378,0.332661989,-0.162231334
8.4,0.064071525,0.256045341,0.316192474,-0.577193033,0.308121306,-0.1606935
8.5,0.060260642,0.26693821,0.297202911,-0.59403073,0.279735814,-0.157349963
8.6,0.055698264,0.27523613,0.274621334,-0.606339745,0.24778667,-0.152247411
8.7,0.050441612,0.280861855,0.248659935,-0.614007166,0.212592906,-0.145443529
8.8,0.044566978,0.283768654,0.219583359,-0.616965918,0.174527555,-0.137022186
8.9,0.038162101,0.283939362,0.187712994,-0.615213495,0.134025934,-0.127104151
9,0.031341422,0.281392097,0.153418865,-0.608814568,0.091577622,-0.115845705
9.1,0.024215568,0.27617836,0.117101994,-0.59788856,0.047705806,-0.103426346
9.2,0.016906608,0.268380165,0.079181042,-0.58259091,0.00294531,-0.090033866
9.3,0.009517539,0.258108139,0.040080872,-0.563100485,-0.042170678,-0.075855401
9.4,0.002147544,0.245495796,2.35E-04,-0.539617708,-0.08711366,-0.061076919
9.5,-0.005104195,0.2307024,-0.039916668,-0.512369042,-0.131359666,-0.045886278
9.6,-0.012142312,0.213906288,-0.079930935,-0.481607417,-0.174394366,-0.030472659
9.7,-0.018890511,0.195307732,-0.119374428,-0.447603907,-0.215725722,-0.015019519
9.8,-0.025280129,0.1751194,-0.157830868,-0.410634548,-0.254898071,3.05E-04
9.9,-0.03125776,0.153567314,-0.194907818,-0.370972173,-0.291498947,0.015352579
10,-0.036777627,0.130882263,-0.230231438,-0.328889804,-0.325154811,0.029990844
10.1,-0.041809212,0.107300758,-0.263439331,-0.284672733,-0.355521485,0.04409313
10.2,-0.04631437,0.083065033,-0.294184361,-0.2386288,-0.382279711,0.057531897
10.3,-0.050254952,0.058418274,-0.322138939,-0.191085761,-0.405142863,0.070181835
10.4,-0.053611886,0.033604622,-0.347011242,-0.14237592,-0.423873669,0.081931974
10.5,-0.056377541,0.008863449,-0.368556652,-0.092818089,-0.438297935,0.09269762
10.6,-0.058548104,-0.015579224,-0.386573467,-0.042711761,-0.448304055,0.102421755
10.7,-0.060142647,-0.039508343,-0.40089241,0.00765014,-0.453826637,0.111062451
10.8,-0.061157357,-0.062722206,-0.411362801,0.057957504,-0.454825018,0.118574058
10.9,-0.061584603,-0.085029125,-0.417849216,0.107866009,-0.451272893,0.124895745
11,-0.061412942,-0.106246948,-0.42024437,0.157002077,-0.443169274,0.129957689
11.1,-0.060627114,-0.126204014,-0.418492947,0.204990719,-0.430564987,0.133703034
11.2,-0.059246194,-0.144747734,-0.412609253,0.251490687,-0.413588365,0.136112317
11.3,-0.057304513,-0.161747932,-0.402676735,0.296214819,-0.392450583,0.137213565
11.4,-0.054855477,-0.177102566,-0.388831291,0.338921564,-0.367424904,0.137069984
11.5,-0.051941048,-0.190733433,-0.371230755,0.379382244,-0.338809506,0.135751077
11.6,-0.048587929,-0.202581406,-0.350037727,0.417344622,-0.306895634,0.133304762
11.7,-0.044811379,-0.212602139,-0.325415764,0.452516628,-0.271958976,0.129747501
11.8,-0.040607583,-0.220760822,-0.297552261,0.484581378,-0.234278557,0.125078573
11.9,-0.03598417,-0.227035046,-0.26668087,0.513235889,-0.194169778,0.119309558
12,-0.030971657,-0.231419563,-0.233099613,0.5382315,-0.152010289,0.112491415
12.1,-0.025634896,-0.233932495,-0.197167549,0.559393827,-0.10824219,0.104723162
12.2,-0.020046364,-0.234613419,-0.15928236,0.576614175,-0.063349131,0.096138501
12.3,-0.014282357,-0.233523369,-0.119850788,0.589819972,-0.017820811,0.086878972
12.4,-0.008407723,-0.230737209,-0.079270992,0.598943877,0.027876783,0.077069353
12.5,-0.002472054,-0.226338387,-0.037924442,0.603908731,0.073312769,0.066807248
12.6,0.003486503,-0.220414162,0.003815022,0.604633478,0.118083886,0.056169208
12.7,0.009433616,-0.213055611,0.045568314,0.601053659,0.161798057,0.045226308
12.8,0.015319694,-0.204360008,0.086944427,0.593142539,0.20406136,0.034058281
12.9,0.021091331,-0.194428444,0.127541866,0.580922743,0.244476083,0.022759187
13,0.026679862,-0.183369637,0.166957226,0.564465456,0.282648622,0.011434129
13.1,0.032028068,-0.171295166,0.204795208,0.543883748,0.318200664,1.92E-04
13.2,0.037063468,-0.158318996,0.240676727,0.519326443,0.350776905,-0.010858523
13.3,0.041717399,-0.144555092,0.274238434,0.490978063,0.380046346,-0.021610645
13.4,0.045928825,-0.13011694,0.305135098,0.459064004,0.405699656,-0.031953809
13.5,0.049621452,-0.115118504,0.333036747,0.42385606,0.427446925,-0.041770609
13.6,0.052718986,-0.099673748,0.357635345,0.385674742,0.445019561,-0.050935802
13.7,0.055145133,-0.083898067,0.37865242,0.344884906,0.458177787,-0.059320353
13.8,0.056835044,-0.06790638,0.395850029,0.301884249,0.466723581,-0.066800257
13.9,0.057735313,-0.051813602,0.409046497,0.257085652,0.470517431,-0.073269334
14,0.057819236,-0.035729885,0.418127861,0.21089443,0.469496531,-0.078654197
14.1,0.057090629,-0.019758701,0.423059311,0.163685203,0.463690017,-0.082928021
14.2,0.055595268,-0.003992081,0.423884239,0.11578486,0.4532251,-0.086117813
14.3,0.053401817,0.011492729,0.42071661,0.067469216,0.438318425,-0.088300479
14.4,0.050601829,0.026631355,0.413719501,0.01897694,0.419252833,-0.089586135
14.5,0.047294486,0.041373253,0.403083649,-0.029463725,0.396346513,-0.090094004
14.6,0.043563712,0.055675507,0.389008369,-0.077608645,0.369927795,-0.089931133
14.7,0.039489616,0.069495201,0.371704903,-0.125186682,0.340327622,-0.089184675
14.8,0.035140861,0.082793236,0.351403084,-0.171911646,0.307891588,-0.087931335
