"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1802.7,0.043002952,0.036600113,0.23406538,-0.045090538,0.246575885,-0.082887967"
"1802.8,0.046748985,0.053050041,0.253132668,-0.054408126,0.25999019,-0.091748257"
"1802.9,0.049968589,0.069059372,0.269607391,-0.06354768,0.270464099,-0.099679601"
"1803,0.05260836,0.084440231,0.283264961,-0.072320464,0.277816237,-0.106574423"
"1803.1,0.05462252,0.099015236,0.293909874,-0.080536475,0.281897862,-0.112334067"
"1803.2,0.055972923,0.112611771,0.301379051,-0.088006754,0.282596409,-0.116870446"
"1803.3,0.056629051,0.125069618,0.305545177,-0.094546587,0.279838507,-0.120107943"
"1803.4,0.05657183,0.136239052,0.306320515,-0.099978241,0.273592832,-0.121985017"
"1803.5,0.055789817,0.145986557,0.303662148,-0.104137013,0.263875954,-0.122458502"
"1803.6,0.054290641,0.154191017,0.297582474,-0.106885083,0.250764232,-0.121513428"
"1803.7,0.052108634,0.160755157,0.28815731,-0.108131106,0.23440721,-0.119175702"
"1803.8,0.049308647,0.16560173,0.275525894,-0.107844625,0.215031697,-0.115519003"
"1803.9,0.045970786,0.168684959,0.259877529,-0.106051834,0.192926364,-0.110656415"
"1804,0.042178977,0.169985771,0.241422501,-0.102807787,0.168407719,-0.104715558"
"1804.1,0.037994254,0.16950798,0.220368233,-0.098155681,0.14178156,-0.097807135"
"1804.2,0.033466209,0.167269707,0.196906891,-0.092095129,0.113320389,-0.090003844"
"1804.3,0.028606284,0.163301468,0.171225872,-0.084578913,0.083270004,-0.08134245"
"1804.4,0.02343737,0.157643318,0.143536892,-0.075541479,0.051880876,-0.071848447"
"1804.5,0.017982353,0.150349617,0.114098396,-0.064942906,0.01944454,-0.061568686"
"1804.6,0.012302268,0.141490936,0.083227959,-0.052802815,-0.013687747,-0.050592709"
"1804.7,0.00648104,0.131162643,0.051286068,-0.039206103,-0.047114758,-0.039051493"
"1804.8,5.99E-04,0.119481087,0.01865324,-0.024281521,-0.080415619,-0.027097248"
"1804.9,-0.005264413,0.106578827,-0.0142943,-0.008170948,-0.113180904,-0.014879464"
"1805,-0.011039864,0.092597961,-0.047191772,0.008989243,-0.145026954,-0.002532748"
"1805.1,-0.016666543,0.077689171,-0.079679642,0.027064576,-0.175589596,0.009818099"
"1805.2,-0.022079598,0.062011719,-0.111393604,0.04590326,-0.204508137,0.022042955"
"1805.3,-0.027206551,0.045728683,-0.141956959,0.065318046,-0.231415667,0.033994312"
"1805.4,-0.031967293,0.029016495,-0.170993481,0.085083066,-0.255945011,0.04550775"
"1805.5,-0.036285531,0.012057304,-0.198143158,0.104947811,-0.277748469,0.056414828"
"1805.6,-0.040096413,-0.004964352,-0.223078403,0.12465989,-0.29652079,0.066560807"
"1805.7,-0.04335035,-0.021862984,-0.245520267,0.143985164,-0.312015795,0.075818728"
"1805.8,-0.046024453,-0.038460255,-0.265238914,0.162719665,-0.324053549,0.084096411"
"1805.9,-0.048107278,-0.054585934,-0.282056484,0.180694175,-0.332520956,0.091337792"
"1806,-0.049617898,-0.070083618,-0.295841846,0.197774918,-0.33736863,0.097521274"
"1806.1,-0.050575387,-0.08480978,-0.306505833,0.213860453,-0.33860412,0.102655095"
"1806.2,-0.051017892,-0.098637581,-0.313992653,0.228871475,-0.336278761,0.106767116"
"1806.3,-0.050972115,-0.111456394,-0.31826416,0.24273161,-0.330467924,0.109888552"
"1806.4,-0.050457131,-0.123167038,-0.319287453,0.255343901,-0.321251171,0.1120359"
"1806.5,-0.049469124,-0.133681774,-0.31703392,0.266573666,-0.308701445,0.113199513"
"1806.6,-0.047992837,-0.142919064,-0.311484013,0.276247908,-0.292890758,0.113345802"
"1806.7,-0.046013009,-0.150804996,-0.302649651,0.284173596,-0.273909716,0.112432638"
"1806.8,-0.043518197,-0.157274246,-0.290587101,0.290165299,-0.251890733,0.110430218"
"1806.9,-0.040519845,-0.162277222,-0.275410328,0.294069019,-0.227022441,0.107336436"
"1807,-0.037040841,-0.165779591,-0.257287178,0.295772484,-0.199550473,0.103181193"
"1807.1,-0.033123147,-0.167764664,-0.236430321,0.295203444,-0.169768314,0.098021986"
"1807.2,-0.028820168,-0.168231964,-0.213092957,0.292324786,-0.138008268,0.091938268"
