activation,apply_batchnorm,conv_kernel_sizes,conv_layers,dropout,fc_layers,lr,lr_patience,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
elu,True,"[13, 11, 9, 7]","[64,]*4",0.03718085544007507,"[128,]*2",0.0002899532530366209,5,0.6796077377139909,1.2652977377513592,1.1532336567226065,1.2653415955591218,1.4824935268783737,0.010508738972834851,ok,1297.8504827022552
relu,True,"[9,]*4","[32,]*4",0.008295298834248621,"[512,]*2",0.0006352362801427705,10,0.9754006622531818,0.5883815472646091,1.0776081197406397,0.6684225209496363,0.5858470594282177,0.0022780696591852526,ok,595.8791358470917
relu,False,"[13, 11, 9, 7]","[64,]*4",0.061098322718366904,"[1024,]*2",0.0025838774202676384,10,1.1452016578152306,1.1961609739750527,1.1957345841314546,0.9970956836258974,0.8367843789705243,0.13815271148556157,ok,1133.6480927467346
relu,True,"[13, 11, 9, 7]","[64,]*4",0.16001123531941178,"[2048, 1024]",0.00046912571356126214,10,0.9145890546014938,0.5555338567186862,1.1506980979144938,0.5977893932966727,0.5342754118638022,0.0018972527774933138,ok,1340.7195553779602
relu,True,"[13, 11, 9, 7]","[64,]*4",0.21004233370023412,"[2048, 1024]",0.0008193069279776009,10,0.9034290289392926,0.5024598167354533,1.1204213407903847,0.6186934370219549,0.5269791597168332,0.002047399371421259,ok,1341.3328075408936
relu,True,"[13, 11, 9, 7]","[64,]*4",0.15507274414768213,"[2048, 1024]",0.0005530081288822446,10,0.8319927975916994,0.5689545110463277,1.2621280229038547,0.5626873054403865,0.5014990795656405,0.0016826520778091723,ok,1341.8397648334503
relu,True,"[13, 11, 9, 7]","[64,]*4",0.14303496155855805,"[2048, 1024]",0.0005181356684960795,10,0.6128793066326284,0.7784050325838767,1.3957770171643327,0.5554528800110027,0.7281565633591199,0.0022230594615010838,ok,1342.9172999858856
relu,True,"[13, 11, 9, 7]","[64,]*4",0.23400144220463154,"[2048, 1024]",0.0011703745272875347,10,0.8309924546178189,0.6978806432874655,0.8645937628299478,0.6974301212637086,0.6026053619047083,0.0023860790227588856,ok,1341.123143196106
relu,True,"[13, 11, 9, 7]","[64,]*4",0.12402390561834972,"[2048, 1024]",0.000565110237835741,10,0.6978806028609128,0.6550138264436649,0.9102959173036934,0.5276886392566779,0.6833605823379001,0.0020633553105749583,ok,1341.0692722797394
relu,True,"[13, 11, 9, 7]","[64,]*4",0.0968284856857759,"[256,]*2",0.0019985801715172212,10,0.7244557601396654,0.6143631076870002,1.2552178995475656,0.8075573902853288,0.5002476688001973,0.0023848501793844136,ok,1291.3082752227783
relu,True,"[5,]*4","[64,]*4",0.2871376527456193,"[256,]*2",0.0009963509983475516,10,0.5913501676024067,0.8133503485442757,0.9683814621553586,0.7594145917121399,0.5640132880788771,0.002539824381911833,ok,818.6655776500702
relu,True,"[13, 11, 9, 7]","[64,]*4",0.2080502172983661,"[512, 1024]",0.0003781073612101315,10,0.8644956887003328,0.5217716828554396,1.4932473643068147,0.581486248268722,0.639865935693942,0.0021069915168673583,ok,1300.3008320331573
relu,True,"[11,]*4","[16,]*4",0.17025662453961465,"[2048, 1024]",0.0003356042084099661,10,1.0830352572966102,0.7270339532941402,1.0559714808110543,0.6493428176070057,0.7818014269734014,0.003068616969118777,ok,427.8434705734253
relu,True,"[13, 11, 9, 7]","[8,]*4",0.25555067053346414,"[256,]*2",0.0015441809472309836,10,0.9479709094427552,0.5674775971755583,1.0082890985835515,0.715155182087043,0.7041808721488925,0.0033081019493310074,ok,418.1143341064453
relu,True,"[11, 9, 7, 5]","[64,]*4",0.18396463613485275,"[1024, 2048]",0.0007978261161407013,5,1.1288074771594783,0.8948569802938565,1.3240223687689359,0.8844434708141786,0.567971897470986,0.003239304023353677,ok,1126.4635717868805
relu,True,"[7,]*4","[64,]*4",0.15179209950011455,"[1024, 512]",0.0006550662038048781,10,1.0314484765590441,0.5993597169075504,0.8332082956653384,0.7453753360433435,0.5077002806254277,0.0023719374960484473,ok,980.3886308670044
elu,True,"[13, 11, 9, 7]","[64,]*4",0.23655786721660768,"[512,]*2",0.0002078453941246697,20,0.8005858726829529,0.6735252040311683,0.7314347309776411,0.5090615496072205,0.6160992515025192,0.002126576256399092,ok,1306.331327199936
relu,False,"[9,]*4","[32,]*4",0.2154840331952535,"[128,]*2",0.0002596082543062494,10,0.7514415030370565,1.109819084452997,1.4164404796769414,0.5335624239316633,0.9317809397313308,0.0035898512425391296,ok,530.9879031181335
relu,True,"[13, 11, 9, 7]","[64,]*4",0.27085834594735825,"[2048,]*2",6.302765450420953e-05,10,1.0028065383853817,0.9157074003693488,0.9377225459118395,0.6270701196869675,0.7313562045416834,0.002843565675184915,ok,1377.3789174556732
relu,True,"[5,]*4","[8,]*4",0.3482607930255459,"[1024,]*2",0.001311774007649397,10,1.3221438361106148,0.5322042237589634,1.3064744534121406,0.5620025702978081,0.5431701610470592,0.0025643883456819153,ok,379.5465545654297
relu,True,"[13, 11, 9, 7]","[16,]*4",0.19290996265198876,"[256,]*2",0.00030289212246618116,5,0.5350373484000193,0.7036752228737225,1.260965156135097,0.665552711062837,0.8386543937914533,0.003272807139805273,ok,449.4550154209137
elu,True,"[11,]*4","[64,]*4",0.1250206926994829,"[256,]*2",0.00012251351654316163,10,1.2308735742764236,0.7471928857420627,0.6254170704758268,1.0576898744941479,0.646928681971664,0.005350988946462932,ok,1310.7064323425293
relu,False,"[13, 11, 9, 7]","[64,]*4",0.39532174349434335,"[2048, 1024]",0.00015943289687471942,20,1.1192172311798707,0.8663233519904809,0.8807766627804873,0.5006305723804668,0.6660749712896407,0.0024751357758711827,ok,1199.6830232143402
relu,True,"[7,]*4","[64,]*4",0.11008819943829917,"[256,]*2",0.00024820345487425936,10,1.168315157777712,0.832906936016041,0.7912355565717469,0.7776384039009738,0.5930680444450119,0.0028721668304091223,ok,957.8444859981537
relu,True,"[11, 9, 7, 5]","[32,]*4",0.08870213776848485,"[512, 1024]",0.00043731454331853107,10,0.9602648829272623,0.6379179567563601,1.2161228583464285,0.5869614478940968,0.5007012940434442,0.0019160428292755234,ok,547.8275768756866
relu,True,"[9,]*4","[8,]*4",0.026382009891867536,"[1024, 512]",0.0010925360205880149,10,1.0403922174287334,1.4851676684295183,1.3696696739986196,0.8150372674227996,1.4368962377879586,0.008048419889650847,ok,386.07717967033386
elu,False,"[13, 11, 9, 7]","[16,]*4",0.3176702825517387,"[1024, 2048]",0.0009244751759534049,5,0.9901040307874223,0.9818552759661271,0.99542800522217,0.708062151438594,1.1989722427101115,0.008378715646502218,ok,447.4181866645813
relu,True,"[13, 11, 9, 7]","[64,]*4",0.2478848143356288,"[512,]*2",0.000400666510497254,20,1.0703274987695603,1.0255008457982209,0.8406693507563956,0.921553722981892,0.8179682188585697,0.00419244771872304,ok,1296.3067617416382
